                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.71577,                 2.1367,                0.94137,                0.99422,                0.98765,                0.98974,                0.81517,                 0.7489,                 1.6411,                0.91414,               0.000948,               0.000948,               0.000948
                     37,                0.70115,                 1.8668,                0.90698,                0.99212,                0.98765,                0.98598,                0.80173,                0.74223,                 1.6242,                0.92423,             0.00093385,             0.00093385,             0.00093385
                     38,                0.75092,                 2.6751,                 0.9468,                0.99424,                0.98765,                0.99271,                 0.8126,                0.73879,                 1.6345,                0.92007,              0.0009197,              0.0009197,              0.0009197
                     39,                0.75841,                 1.9717,                0.93805,                0.96777,                0.99251,                0.99464,                0.80413,                0.73223,                 1.7037,                0.90554,             0.00090556,             0.00090556,             0.00090556
                     40,                0.75291,                 2.5075,                0.95151,                0.97708,                0.99903,                0.99464,                0.79356,                0.77291,                 1.7246,                0.90685,             0.00089141,             0.00089141,             0.00089141
                     41,                0.75243,                 1.9543,                0.93059,                  0.982,                0.98997,                0.99464,                 0.8002,                0.77339,                 1.6305,                 0.9015,             0.00087726,             0.00087726,             0.00087726
                     42,                0.69489,                 1.7396,                0.90843,                  0.982,                0.98997,                0.99464,                 0.8002,                0.77339,                 1.6305,                 0.9015,             0.00086312,             0.00086312,             0.00086312
                     43,                0.70211,                   1.72,                 0.9205,                0.98864,                0.98765,                0.99464,                0.80581,                0.76575,                 1.5775,                0.90779,             0.00084897,             0.00084897,             0.00084897
                     44,                0.77334,                 2.2198,                0.93654,                0.99222,                0.98547,                0.99464,                0.79901,                0.78883,                 1.5916,                0.91604,             0.00083482,             0.00083482,             0.00083482
                     45,                 0.7496,                 1.9782,                0.93005,                0.99459,                0.98582,                0.99464,                0.80485,                0.77791,                 1.6042,                0.90764,             0.00082067,             0.00082067,             0.00082067
                     46,                0.70536,                 1.6048,                0.90358,                 0.9875,                 0.9848,                0.99431,                 0.8166,                0.72963,                 1.5571,                0.89248,             0.00080653,             0.00080653,             0.00080653
                     47,                0.69702,                 1.9304,                0.92026,                0.99164,                0.98436,                0.99371,                0.83351,                0.67954,                 1.5176,                0.87898,             0.00079238,             0.00079238,             0.00079238
                     48,                0.69587,                 1.9135,                0.93021,                0.99435,                0.98549,                0.99344,                0.83303,                 0.6579,                 1.4423,                0.87061,             0.00077823,             0.00077823,             0.00077823
                     49,                0.68413,                   1.77,                0.93392,                0.99435,                0.98549,                0.99344,                0.83303,                 0.6579,                 1.4423,                0.87061,             0.00076409,             0.00076409,             0.00076409
                     50,                 0.6425,                 1.6899,                0.91555,                 0.9943,                0.98765,                0.99344,                0.84091,                0.66304,                 1.3759,                0.87186,             0.00074994,             0.00074994,             0.00074994
                     51,                0.63893,                  1.564,                0.91659,                0.99328,                0.98765,                0.99344,                0.84147,                0.65697,                 1.3527,                 0.8769,             0.00073579,             0.00073579,             0.00073579
                     52,                0.64243,                 1.6074,                0.91392,                0.99554,                0.98765,                0.99318,                0.83121,                 0.6598,                 1.3411,                0.87714,             0.00072164,             0.00072164,             0.00072164
                     53,                0.63641,                 1.5728,                0.88775,                0.99589,                0.98765,                0.99318,                 0.8308,                0.67731,                  1.345,                 0.8808,              0.0007075,              0.0007075,              0.0007075
                     54,                0.66513,                  1.616,                0.93767,                0.99439,                0.98765,                0.99294,                0.81987,                  0.683,                  1.347,                0.88841,             0.00069335,             0.00069335,             0.00069335
                     55,                0.59444,                 1.5988,                0.87633,                0.99439,                0.98765,                0.99294,                0.81987,                  0.683,                  1.347,                0.88841,              0.0006792,              0.0006792,              0.0006792
                     56,                0.65889,                  1.468,                0.89701,                0.99419,                0.98765,                0.98615,                0.81694,                0.71155,                 1.3734,                0.90532,             0.00066506,             0.00066506,             0.00066506
                     57,                0.65356,                 1.6077,                0.90249,                0.99639,                 0.9872,                0.98915,                0.82689,                0.69732,                 1.3324,                0.90569,             0.00065091,             0.00065091,             0.00065091
                     58,                0.62451,                 1.8107,                0.88492,                0.99542,                0.98684,                 0.9887,                0.82469,                0.68562,                 1.2628,                0.90641,             0.00063676,             0.00063676,             0.00063676
                     59,                0.64063,                 1.3369,                0.89171,                0.99439,                0.98614,                0.98958,                0.83328,                 0.6809,                 1.2469,                0.90868,             0.00062262,             0.00062262,             0.00062262
                     60,                0.64942,                 1.3499,                0.91681,                0.99367,                0.98573,                0.99009,                0.82868,                0.67305,                 1.2143,                0.90018,             0.00060847,             0.00060847,             0.00060847
                     61,                 0.6101,                 1.4993,                0.89586,                0.99516,                0.98765,                0.99051,                0.82569,                0.67651,                 1.2158,                0.89049,             0.00059432,             0.00059432,             0.00059432
                     62,                0.61678,                 1.3916,                0.89409,                0.99516,                0.98765,                0.99051,                0.82569,                0.67651,                 1.2158,                0.89049,             0.00058017,             0.00058017,             0.00058017
                     63,                0.64968,                 1.4546,                0.91625,                0.99568,                0.98765,                0.99062,                0.81604,                0.71062,                  1.224,                0.89572,             0.00056603,             0.00056603,             0.00056603
                     64,                0.63588,                 1.5396,                0.91587,                0.99578,                0.98765,                0.98787,                0.81369,                 0.7184,                 1.2055,                0.89674,             0.00055188,             0.00055188,             0.00055188
                     65,                0.63472,                 1.3527,                0.89715,                0.99677,                0.98765,                0.99344,                0.82841,                0.68438,                 1.1774,                0.88226,             0.00053773,             0.00053773,             0.00053773
                     66,                0.61105,                 1.4123,                0.87408,                0.99689,                0.98765,                0.99344,                0.84612,                0.65563,                 1.1545,                0.87652,             0.00052359,             0.00052359,             0.00052359
                     67,                0.60841,                 1.3288,                  0.887,                 0.9969,                0.98765,                0.98865,                0.83529,                0.65794,                 1.1107,                0.87835,             0.00050944,             0.00050944,             0.00050944
                     68,                0.61236,                 1.3506,                0.88225,                 0.9969,                0.98765,                0.98865,                0.83529,                0.65794,                 1.1107,                0.87835,             0.00049529,             0.00049529,             0.00049529
                     69,                0.63673,                 1.2865,                0.90153,                0.99684,                0.98765,                0.99074,                0.83398,                0.67223,                 1.0952,                 0.8852,             0.00048114,             0.00048114,             0.00048114
                     70,                0.59738,                   1.31,                0.89272,                0.99693,                0.98765,                0.99211,                0.82233,                0.69316,                  1.095,                0.89315,               0.000467,               0.000467,               0.000467
                     71,                0.61178,                 1.2845,                 0.9077,                0.99713,                0.98765,                0.99271,                0.82619,                 0.6974,                  1.067,                 0.8955,             0.00045285,             0.00045285,             0.00045285
                     72,                0.60724,                 1.3753,                0.89273,                0.99705,                0.98765,                0.99371,                 0.8265,                0.68252,                 1.0216,                0.88923,              0.0004387,              0.0004387,              0.0004387
                     73,                 0.6045,                 1.3411,                0.88247,                 0.9968,                0.98765,                0.99431,                0.83924,                0.67068,                 1.0114,                0.88374,             0.00042456,             0.00042456,             0.00042456
                     74,                0.59235,                  1.442,                0.88925,                 0.9968,                0.98765,                0.99431,                0.83924,                0.67068,                 1.0114,                0.88374,             0.00041041,             0.00041041,             0.00041041
                     75,                0.58034,                 1.3166,                0.87231,                0.99671,                0.98765,                  0.994,                0.83182,                0.67839,                  1.029,                0.87932,             0.00039626,             0.00039626,             0.00039626
                     76,                0.61383,                 1.4106,                  0.903,                0.99558,                0.98765,                0.99431,                0.83293,                0.69137,                  1.031,                  0.881,             0.00038211,             0.00038211,             0.00038211
                     77,                0.60154,                 1.3644,                0.88829,                0.99489,                0.98765,                 0.9868,                0.83186,                0.68112,                 1.0131,                 0.8795,             0.00036797,             0.00036797,             0.00036797
                     78,                0.60639,                 1.3824,                0.88889,                0.99366,                0.98765,                0.98657,                0.84385,                0.65809,                0.98571,                0.87356,             0.00035382,             0.00035382,             0.00035382
                     79,                0.55908,                 1.2712,                0.86799,                0.99469,                0.98765,                0.98681,                0.84688,                0.64116,                0.96091,                0.86923,             0.00033967,             0.00033967,             0.00033967
                     80,                0.56868,                 1.4015,                0.90306,                0.99618,                0.98765,                0.99371,                0.84722,                0.65259,                0.94687,                0.87772,             0.00032553,             0.00032553,             0.00032553
                     81,                0.58586,                 1.1661,                0.89432,                0.99618,                0.98765,                0.99371,                0.84722,                0.65259,                0.94687,                0.87772,             0.00031138,             0.00031138,             0.00031138
                     82,                0.57367,                 1.2601,                0.89069,                0.99621,                0.98765,                0.99074,                0.82866,                0.66483,                0.93563,                0.87515,             0.00029723,             0.00029723,             0.00029723
                     83,                 0.6241,                 1.3935,                0.89366,                0.99713,                0.98765,                0.98897,                0.83045,                 0.6708,                0.93305,                0.87552,             0.00028308,             0.00028308,             0.00028308
                     84,                0.60755,                 1.2343,                0.89614,                0.99772,                0.98765,                0.99318,                0.84606,                0.66017,                0.93885,                0.87053,             0.00026894,             0.00026894,             0.00026894
                     85,                0.57755,                 1.3781,                 0.8862,                 0.9974,                0.98765,                0.99344,                0.85143,                0.63822,                0.93325,                0.86377,             0.00025479,             0.00025479,             0.00025479
                     86,                0.55351,                 1.3031,                0.87329,                0.99752,                0.98765,                0.99128,                 0.8556,                0.61221,                0.89859,                0.85526,             0.00024064,             0.00024064,             0.00024064
                     87,                0.50628,                 1.3561,                 0.8595,                0.99752,                0.98765,                0.99128,                 0.8556,                0.61221,                0.89859,                0.85526,              0.0002265,              0.0002265,              0.0002265
                     88,                 0.5827,                 1.2415,                0.89443,                0.99725,                0.98765,                0.99294,                 0.8545,                0.60372,                 0.8845,                0.85411,             0.00021235,             0.00021235,             0.00021235
                     89,                0.54651,                 1.2342,                0.86837,                0.99673,                0.98765,                 0.9925,                0.84939,                0.61083,                0.87324,                0.85551,              0.0001982,              0.0001982,              0.0001982
                     90,                 0.5512,                 1.1199,                0.84693,                0.99616,                0.98765,                 0.9923,                0.84618,                0.62102,                0.87621,                0.86034,             0.00018406,             0.00018406,             0.00018406
